Sex	gene_id	gene_name	target_id	target_name	corrPower	changeCorr	signTissues	signTissuesN	medianLFC	corrTissuesN	corrTissues	medianLFC_target
Male	ENSMUSG00000103818.2	Gm38009	ENSMUSG00000008475.14	Arpc5	-1	-1	Liver	1	1.86945785172724	1	Liver	-0.37857156428772337
Female	ENSMUSG00000111947.2	Gm47438	ENSMUSG00000025366.9	Esyt1	-1	-1	Kidney	1	0.7219530754030623	1	Kidney	-0.3787271521390291
Female	ENSMUSG00000066175.4	2510046G10Rik	ENSMUSG00000032743.16	Katnip	-1	-1	Kidney, Muscle, Liver	3	1.4888689451082269	1	Liver	-0.37873201953193525
Male	ENSMUSG00000110613.3	Lncbate1	ENSMUSG00000039067.6	Psmd7	-1	-1	Muscle, Liver	2	2.709828298888565	1	Liver	-0.37907216975032715
Female	ENSMUSG00000090038.9	Gm16573	ENSMUSG00000022219.11	Cideb	-1	-1	Liver	1	0.9537835827891311	1	Liver	-0.3791832114853543
Female	ENSMUSG00000097743.2	Gm16973	ENSMUSG00000022219.11	Cideb	-1	-1	Kidney, Muscle, Liver	3	0.6921388174709909	1	Liver	-0.3791832114853543
Female	ENSMUSG00000102808.2	5430420F09Rik	ENSMUSG00000037152.12	Ndufc1	-1	-1	Kidney	1	1.1215649884961343	1	Kidney	-0.3796013302329968
Female	ENSMUSG00000072893.13	4933439C10Rik	ENSMUSG00000020496.11	Rnf187	-1	-1	Kidney, Muscle	2	0.8869867208391036	1	Kidney	-0.3796862092810881
Male	ENSMUSG00000101823.2	Gm29438	ENSMUSG00000052337.16	Immt	-1	-1	Liver	1	1.7950391367203284	1	Liver	-0.37980325855743813
Male	ENSMUSG00000104501.2	Gm37736	ENSMUSG00000052337.16	Immt	-1	-1	Liver	1	1.5045977910105675	1	Liver	-0.37980325855743813
Male	ENSMUSG00000108371.2	Gm38832	ENSMUSG00000052337.16	Immt	-1	-1	Liver	1	2.8573357466279687	1	Liver	-0.37980325855743813
Male	ENSMUSG00000048603.10	Gm9828	ENSMUSG00000046082.5	Tmem174	-1	-1	Kidney, Muscle, Liver	3	0.8791314518619102	1	Kidney	-0.37996151411618356
Male	ENSMUSG00000097346.2	Rps18-ps4	ENSMUSG00000046082.5	Tmem174	-1	-1	Kidney, Muscle, Liver	3	0.8214357252885911	1	Kidney	-0.37996151411618356
Male	ENSMUSG00000114598.2	D130062J10Rik	ENSMUSG00000046082.5	Tmem174	-1	-1	Ileon, Kidney, Muscle, Liver	4	1.6370001637678242	1	Kidney	-0.37996151411618356
Female	ENSMUSG00000097164.4	Cep83os	ENSMUSG00000074781.6	Ube2n	-1	-1	Kidney, Muscle, Liver	3	0.6977072758696309	1	Kidney	-0.3801692186090494
Female	ENSMUSG00000110353.2	Gm33543	ENSMUSG00000074781.6	Ube2n	-1	-1	Kidney, Liver	2	1.419963675261274	1	Kidney	-0.3801692186090494
Female	ENSMUSG00000120219.1	ENSMUSG00000120219	ENSMUSG00000071662.5	Polr2g	-1	-1	Kidney, Muscle	2	0.8237467862132148	1	Kidney	-0.3801923896808059
Female	ENSMUSG00000120219.1	ENSMUSG00000120219	ENSMUSG00000118346.2	Tmem179b	-1	-1	Kidney, Muscle	2	0.8237467862132148	1	Kidney	-0.3802433555481416
Female	ENSMUSG00000084997.8	Gm15471	ENSMUSG00000002233.14	Rhoc	-1	-1	Kidney	1	1.4508430132062136	1	Kidney	-0.38054388678174084
Female	ENSMUSG00000106251.2	Gm42658	ENSMUSG00000002233.14	Rhoc	-1	-1	Kidney	1	1.5238784399319067	1	Kidney	-0.38054388678174084
Female	ENSMUSG00000106443.2	Gm42702	ENSMUSG00000002233.14	Rhoc	-1	-1	Kidney	1	0.9868120876367753	1	Kidney	-0.38054388678174084
Male	ENSMUSG00000055370.4	Gm9968	ENSMUSG00000052459.14	Atp6v1a	-1	-1	Kidney	1	1.3607393327532407	1	Kidney	-0.3808562787940033
Female	ENSMUSG00000103651.2	Gm37206	ENSMUSG00000063904.5	Dpp3	-1	-1	Kidney, Muscle, Liver	3	0.7036358956959057	1	Liver	-0.38097338686853305
Female	ENSMUSG00000097124.3	A530020G20Rik	ENSMUSG00000053931.12	Cnn3	-1	-1	Muscle	1	3.026741361265747	1	Muscle	-0.3810085599347492
Female	ENSMUSG00000109703.3	Gm45299	ENSMUSG00000051007.16	Gatd1	-1	-1	Liver	1	1.2694012737856337	1	Liver	-0.3811702254191974
Female	ENSMUSG00000087177.9	E130307A14Rik	ENSMUSG00000038522.8	Mfsd4b1	-1	-1	Ileon, Kidney	2	0.963622407439892	1	Kidney	-0.38118980815486664
Male	ENSMUSG00000109644.3	0610005C13Rik	ENSMUSG00000038502.18	Ptov1	-1	-1	Ileon, Liver, Colon	3	1.7913307900389701	1	Liver	-0.38178488259404975
Male	ENSMUSG00000057913.4	Gm10032	ENSMUSG00000022052.10	Ppp2r2a	-1	-1	Kidney, Muscle	2	1.7981478701598754	1	Muscle	-0.3819562022566188
Female	ENSMUSG00000096981.3	Gm16845	ENSMUSG00000079677.3	Fdx2	-1	-1	Kidney, Muscle, Liver	3	1.1331140024915405	1	Muscle	-0.3820276748173535
Male	ENSMUSG00000111368.2	Gm47889	ENSMUSG00000038160.8	Atg5	-1	-1	Kidney	1	4.105876480378076	1	Kidney	-0.38217997608382015
Female	ENSMUSG00000043488.7	Frmd8os	ENSMUSG00000024870.7	Rab1b	-1	-1	Kidney, Muscle, Heart	3	1.213328575397435	1	Kidney	-0.3823602400056767
Female	ENSMUSG00000102349.2	Gm37376	ENSMUSG00000024870.7	Rab1b	-1	-1	Kidney, Muscle	2	1.292499294400158	1	Kidney	-0.3823602400056767
Female	ENSMUSG00000103651.2	Gm37206	ENSMUSG00000024870.7	Rab1b	-1	-1	Kidney, Muscle, Liver	3	0.7036358956959057	1	Kidney	-0.3823602400056767
Male	ENSMUSG00000104877.2	Gm42651	ENSMUSG00000029387.11	Gtf2h3	-1	-1	Muscle, Liver	2	1.2236796695499887	1	Liver	-0.3824191701732448
Male	ENSMUSG00000106458.2	Gm42633	ENSMUSG00000029387.11	Gtf2h3	-1	-1	Liver	1	1.6186685561138798	1	Liver	-0.3824191701732448
Male	ENSMUSG00000112411.2	Gm19337	ENSMUSG00000020077.15	Srgn	-1	-1	Liver	1	1.045617305667037	1	Liver	-0.3824394756902863
Male	ENSMUSG00000085189.3	Gm11963	ENSMUSG00000049680.18	Urgcp	-1	-1	Kidney	1	1.1431780464669241	1	Kidney	-0.3824456105416389
Male	ENSMUSG00000121251.1	ENSMUSG00000121251	ENSMUSG00000049680.18	Urgcp	-1	-1	Kidney, Muscle	2	0.8603809601575079	1	Kidney	-0.3824456105416389
Male	ENSMUSG00000087138.3	Gm15545	ENSMUSG00000003420.9	Fcgrt	-1	-1	Kidney, Muscle	2	1.1844639354539328	1	Kidney	-0.3825611336340388
Male	ENSMUSG00000085651.2	Gm11695	ENSMUSG00000015542.18	Nat9	-1	-1	Liver, Colon	2	3.1126930593354114	1	Liver	-0.3825720047507201
Male	ENSMUSG00000121256.1	ENSMUSG00000121256	ENSMUSG00000026170.7	Cyp27a1	-1	-1	Muscle, Liver	2	1.2950086887810208	1	Liver	-0.3827860509162641
Male	ENSMUSG00000087382.9	Ctcflos	ENSMUSG00000027519.11	Rab22a	-1	-1	Kidney	1	1.4829521960547376	1	Kidney	-0.38282258191731255
Male	ENSMUSG00000048406.6	B330016D10Rik	ENSMUSG00000006215.13	Zbtb17	-1	-1	Kidney, Liver	2	1.0495079949414636	1	Kidney	-0.38298597069009027
Female	ENSMUSG00000110656.2	Gm20735	ENSMUSG00000001482.16	Def8	-1	-1	Muscle	1	2.1306433092769828	1	Muscle	-0.3830484590491074
Female	ENSMUSG00000087138.3	Gm15545	ENSMUSG00000002781.20	Tmem143	-1	-1	Kidney	1	0.8208734428188466	1	Kidney	-0.3830546655637158
Female	ENSMUSG00000077714.3	Snord17	ENSMUSG00000027422.16	Rrbp1	-1	-1	Muscle, Liver	2	0.7714312808462513	1	Muscle	-0.3830989431664995
Male	ENSMUSG00000110791.2	Gm47508	ENSMUSG00000039497.9	Dse	-1	-1	Kidney, Liver	2	1.2843893116251568	1	Kidney	-0.3831261925720457
Male	ENSMUSG00000043993.8	2900052L18Rik	ENSMUSG00000025377.15	Tepsin	-1	-1	Ileon, Kidney, Muscle, Liver, Heart	5	1.2596464839002115	1	Kidney	-0.38357086061259277
Male	ENSMUSG00000075389.5	Reno1	ENSMUSG00000025377.15	Tepsin	-1	-1	Ileon, Kidney, Muscle, Liver, Heart	5	1.0181884533021341	1	Kidney	-0.38357086061259277
Male	ENSMUSG00000087404.2	Gm11752	ENSMUSG00000025377.15	Tepsin	-1	-1	Kidney, Heart	2	1.5537585178157851	1	Kidney	-0.38357086061259277
Male	ENSMUSG00000120866.1	ENSMUSG00000120866	ENSMUSG00000025377.15	Tepsin	-1	-1	Kidney	1	1.4742485081622778	1	Kidney	-0.38357086061259277
Female	ENSMUSG00000066175.4	2510046G10Rik	ENSMUSG00000030741.16	Spns1	-1	-1	Kidney, Muscle, Liver	3	1.4888689451082269	1	Kidney	-0.3836730124265158
Male	ENSMUSG00000087644.2	Gm14703	ENSMUSG00000031158.13	Timm17b	-1	-1	Liver	1	1.1025432525441734	1	Liver	-0.3836801948118615
Male	ENSMUSG00000104344.2	Gm38077	ENSMUSG00000032571.15	Pik3r4	-1	-1	Kidney, Liver	2	1.2698957758986251	1	Kidney	-0.38368927443488066
Male	ENSMUSG00000052188.7	Gm14964	ENSMUSG00000024960.10	Plcb3	-1	-1	Ileon, Kidney, Muscle	3	1.1510398649382911	1	Kidney	-0.3837239130379946
Female	ENSMUSG00000106678.2	Gm43457	ENSMUSG00000005299.7	Letm1	-1	-1	Muscle	1	0.9371674033658305	1	Muscle	-0.38388100425686245
Female	ENSMUSG00000102375.2	A930036K24Rik	ENSMUSG00000032583.8	Mon1a	-1	-1	Liver	1	1.5758649979316242	1	Liver	-0.3839402736317244
Female	ENSMUSG00000121142.1	ENSMUSG00000121142	ENSMUSG00000032583.8	Mon1a	-1	-1	Ileon, Liver	2	1.5394067309129937	1	Liver	-0.3839402736317244
Male	ENSMUSG00000119476.1	Rnu1a1	ENSMUSG00000072582.10	Ptrh2	-1	-1	Kidney, Liver	2	0.758051153188436	1	Liver	-0.38447810427133416
