gene_name	organ	cor	pval	adj.pval
A330023F24Rik	BAT	-0.015873006728027418	0.9336520539870928	1
A330023F24Rik	Bone	0.4265667886359966	0.0027902919984956528	0.044644671975930444
A330023F24Rik	Brain	0.3849106676100815	0.0052869861340931945	0.08459177814549111
A330023F24Rik	GAT	0.2852576446365753	0.1019887558992649	1
A330023F24Rik	Heart	0.11169200640791543	0.4448339438179276	1
A330023F24Rik	Kidney	0.41680913979376155	0.0028897757350062002	0.046236411760099204
A330023F24Rik	Limb_Muscle	0.37436657449584954	0.010372456375754562	0.16595930201207298
A330023F24Rik	Liver	0.028107804076818965	0.8463611603233115	1
A330023F24Rik	Lung	-0.03932423542007364	0.7776977694323428	1
A330023F24Rik	Marrow	-0.06994646001390861	0.6187055329327839	1
A330023F24Rik	MAT	0.0720770258481571	0.6301922105981437	1
A330023F24Rik	Pancreas	-0.20422318017755053	0.19452868237032958	1
A330023F24Rik	SCAT	-0.009702774689937436	0.9501571006009578	1
A330023F24Rik	Skin	0.08689659558000497	0.5748822545050316	1
A330023F24Rik	Small_Intestine	0.1591859861284588	0.2695046449230837	1
A330023F24Rik	Spleen	0.12498910000130102	0.363231044280496	1
Acta1	BAT	0.3774763948778727	0.039738885408417725	0.6358221665346836
Acta1	Bone	0.2964902975022411	0.043005670795970494	0.6880907327355279
Acta1	Brain	0.08371469822686033	0.5591879969940788	1
Acta1	GAT	0.3058808924307972	0.07852549611761765	1
Acta1	Heart	-0.1274550508257775	0.38281555442707926	1
Acta1	Kidney	0.08080273712442153	0.5810022394814327	1
Acta1	Limb_Muscle	-0.3205422664045237	0.02986624229431036	0.47785987670896574
Acta1	Liver	-0.17131053672920638	0.2342320498718586	1
Acta1	Lung	0.0073171394775306715	0.9581204985470233	1
Acta1	Marrow	-0.09253659812435432	0.5098772177180279	1
Acta1	MAT	0.200181575577362	0.17729760727867205	1
Acta1	Pancreas	0.041718067611974316	0.7930755751980034	1
Acta1	SCAT	-0.27256843441273565	0.07344933080574655	1
Acta1	Skin	0.02600074317607208	0.8669510583486534	1
Acta1	Small_Intestine	0.0433432569712254	0.7650379045924125	1
Acta1	Spleen	0.11160848897428328	0.41722888421274906	1
Amot	BAT	0.4217946947830116	0.020253504190632085	0.32405606705011336
Amot	Bone	0.17400354446049524	0.24210750168962109	1
Amot	Brain	0.04512419532249277	0.7532002221261339	1
Amot	GAT	-0.19304986535795685	0.2740032330342142	1
Amot	Heart	0.4592251380808569	9.031212674290538e-4	0.014449940278864861
Amot	Kidney	0.26347514236500214	0.0673721030226279	1
Amot	Limb_Muscle	-0.06744806211057029	0.6560499439208597	1
Amot	Liver	0.04768786746612359	0.7422596436548564	1
Amot	Lung	-0.14552810909507535	0.2937234874681138	1
Amot	Marrow	-0.14068339203226868	0.31500439744700554	1
Amot	MAT	0.2740954218775826	0.06226753523099711	0.9962805636959537
Amot	Pancreas	0.2896126417105511	0.06283554483011533	1
Amot	SCAT	-0.17050604593378296	0.268477098767201	1
Amot	Skin	-0.10803344770933246	0.4851585305898992	1
Amot	Small_Intestine	0.0012763018978712132	0.9929814582992496	1
Amot	Spleen	0.11743470393608163	0.39317419417959376	1
Amph	BAT	0.15185306535048979	0.42310072715417923	1
Amph	Bone	0.3333214845567623	0.02204971221630619	0.35279539546089905
Amph	Brain	-0.2709859246935626	0.054428746286486904	0.8708599405837905
Amph	GAT	-0.026166922589264858	0.8832141482627367	1
Amph	Heart	0.20530033986432725	0.15703097743659042	1
Amph	Kidney	0.02411648216649072	0.8693523472069743	1
Amph	Limb_Muscle	-0.09315057603806735	0.5380713004996958	1
Amph	Liver	0.16587822214120304	0.24962267643871688	1
Amph	Lung	-0.10930774638685124	0.43139226126587815	1
Amph	Marrow	-0.0225398464416758	0.872723519494315	1
Amph	MAT	0.026123925513923726	0.8616268559633123	1
Amph	Pancreas	-0.0066606416011423565	0.9666074141000991	1
Amph	SCAT	-0.03033650566997184	0.8450160703448248	1
Amph	Skin	0.12495264165778616	0.4190010157901145	1
Amph	Small_Intestine	0.1220668857227614	0.3984032946209124	1
Amph	Spleen	0.18458264633704088	0.17730984186394927	1
Arhgap9	BAT	0.12135186161674975	0.5229555311838914	1
Arhgap9	Bone	0.09594885596253307	0.5211574587097167	1
Arhgap9	Brain	-0.12569370330723495	0.3794706667468156	1
Arhgap9	GAT	0.3179714698740588	0.0668597226331103	1
Arhgap9	Heart	0.2655323855951543	0.06518315181372925	1
Arhgap9	Kidney	0.13067569838574444	0.370807449054666	1
Arhgap9	Limb_Muscle	-0.17192717438311786	0.2532428703293105	1
Arhgap9	Liver	0.20248494195355096	0.15847264828757832	1
Arhgap9	Lung	0.20873925721090128	0.12983234741159622	1
Arhgap9	Marrow	0.060777885664688745	0.6655096216452094	1
Arhgap9	MAT	-0.2451202602034871	0.09678345775278506	1
Arhgap9	Pancreas	-0.08178815785868757	0.6066118618456824	1
Arhgap9	SCAT	-0.20170994982928186	0.18917709396045612	1
Arhgap9	Skin	-0.30717830323241463	0.04253354687108268	0.6805367499373228
Arhgap9	Small_Intestine	-0.2704293013035268	0.05750963279019297	0.9201541246430875
Arhgap9	Spleen	-0.28960086778138266	0.031985122541155556	0.5117619606584889
Astn2	BAT	0.27762179174582086	0.13744806808097235	1
Astn2	Bone	0.3491173801883818	0.016163749101352373	0.25861998562163796
Astn2	Brain	0.09518988907510469	0.5064021926726441	1
Astn2	GAT	-0.3268590381718782	0.05918636823093653	0.9469818916949845
Astn2	Heart	-0.13384038677091242	0.35923118697542056	1
