Kidney_Male.LAKI UP	Kidney_Male.LAKI DOWN	Kidney_Male.TMS UP	Kidney_Male.TMS DOWN	Kidney_Male.Zhou UP	Kidney_Male.Zhou DOWN	Liver_Male.LAKI UP	Liver_Male.LAKI DOWN	Liver_Male.TMS UP	Liver_Male.TMS DOWN	Liver_Male.Zhou UP	Liver_Male.Zhou DOWN	Heart_Male.LAKI UP	Heart_Male.LAKI DOWN	Heart_Male.TMS UP	Heart_Male.TMS DOWN	Heart_Male.Zhou UP	Heart_Male.Zhou DOWN	Small_intestine_Male.LAKI UP	Small_intestine_Male.LAKI DOWN	Small_intestine_Male.TMS UP	Small_intestine_Male.TMS DOWN	Small_intestine_Male.Zhou UP	Small_intestine_Male.Zhou DOWN	Kidney_Female.LAKI UP	Kidney_Female.LAKI DOWN	Kidney_Female.TMS UP	Kidney_Female.TMS DOWN	Kidney_Female.Zhou UP	Kidney_Female.Zhou DOWN	Liver_Female.LAKI UP	Liver_Female.LAKI DOWN	Liver_Female.TMS UP	Liver_Female.TMS DOWN	Liver_Female.Zhou UP	Liver_Female.Zhou DOWN	Heart_Female.LAKI UP	Heart_Female.LAKI DOWN	Heart_Female.TMS UP	Heart_Female.TMS DOWN	Heart_Female.Zhou UP	Heart_Female.Zhou DOWN	Small_intestine_Female.LAKI UP	Small_intestine_Female.LAKI DOWN	Small_intestine_Female.TMS UP	Small_intestine_Female.TMS DOWN	Small_intestine_Female.Zhou UP	Small_intestine_Female.Zhou DOWN
1700001G17Rik	NA	NA	NA	Gm46447	NA	Gm37250	NA	NA	NA	NA	NA	NA	NA	NA	Nkx2-2os	NA	NA	NA	NA	NA	NA	NA	NA	Gm36963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37062	NA	NA	NA	Gm49494	NA	9630010A21Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gvin-ps1	NA	NA	NA	NA	NA	NA	NA	NA	Gm37269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37607	NA	NA	NA	Gm34256	NA	Gm37420	NA	NA	NA	NA	NA	NA	NA	NA	Gnasas1	NA	NA	NA	NA	NA	NA	NA	NA	Gm37268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9630010A21Rik	NA	NA	NA	Gm6475	NA	Gm37940	NA	NA	NA	NA	NA	NA	NA	NA	Chn1os3	NA	NA	NA	NA	NA	NA	NA	NA	Gm37677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37008	NA	NA	NA	Gm21691	NA	Gm37893	NA	NA	NA	NA	NA	NA	NA	NA	Gm15280	NA	NA	NA	NA	NA	NA	NA	NA	Gm32391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37893	NA	NA	NA	Gm49599	NA	Gm37186	NA	NA	NA	NA	NA	NA	NA	NA	Gm12002	NA	NA	NA	NA	NA	NA	NA	NA	4833412K13Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37677	NA	NA	NA	Gm17809	NA	BC055308	NA	NA	NA	NA	NA	NA	NA	NA	Gm12915	NA	NA	NA	NA	NA	NA	NA	NA	Gm37215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37366	NA	NA	NA	Gm7818	NA	Gm37677	NA	NA	NA	NA	NA	NA	NA	NA	Gm12784	NA	NA	NA	NA	NA	NA	NA	NA	Gm37212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4833412K13Rik	NA	NA	NA	Gm49871	NA	Gm20045	NA	NA	NA	NA	NA	NA	NA	NA	Stamos	NA	NA	NA	NA	NA	NA	NA	NA	Gm37776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37212	NA	NA	NA	Gm33727	NA	Gm38025	NA	NA	NA	NA	NA	NA	NA	NA	BC046251	NA	NA	NA	NA	NA	NA	NA	NA	Gm37566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37314	NA	NA	NA	Gm46637	NA	Gm37215	NA	NA	NA	NA	NA	NA	NA	NA	Gm11685	NA	NA	NA	NA	NA	NA	NA	NA	Gm37956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37296	NA	NA	NA	Gm19500	NA	Gm37212	NA	NA	NA	NA	NA	NA	NA	NA	Hnrnpa1l2-ps	NA	NA	NA	NA	NA	NA	NA	NA	Gm37314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37818	NA	NA	NA	Gm50323	NA	5330406M23Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm11674	NA	NA	NA	NA	NA	NA	NA	NA	Gm37879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37174	NA	NA	NA	Gm41760	NA	Gm37566	NA	NA	NA	NA	NA	NA	NA	NA	Gm2309	NA	NA	NA	NA	NA	NA	NA	NA	Gm37296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm38043	NA	NA	NA	9330117O12Rik	NA	Gm38125	NA	NA	NA	NA	NA	NA	NA	NA	Plxna4os1	NA	NA	NA	NA	NA	NA	NA	NA	Gm37298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm38077	NA	NA	NA	Gm50216	NA	Gm37314	NA	NA	NA	NA	NA	NA	NA	NA	Gm43154	NA	NA	NA	NA	NA	NA	NA	NA	Gm37488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37509	NA	NA	NA	Gm50358	NA	Gm37879	NA	NA	NA	NA	NA	NA	NA	NA	4932443L11Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm37110	NA	NA	NA	Gm41804	NA	Gm37296	NA	NA	NA	NA	NA	NA	NA	NA	Platr21	NA	NA	NA	NA	NA	NA	NA	NA	D130019J16Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43858	NA	NA	NA	ENSMUSG00000119984	NA	Gm36955	NA	NA	NA	NA	NA	NA	NA	NA	4930448D08Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm38248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43857	NA	NA	NA	ENSMUSG00000120003	NA	Gm38248	NA	NA	NA	NA	NA	NA	NA	NA	Gm15681	NA	NA	NA	NA	NA	NA	NA	NA	Gm37818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43601	NA	NA	NA	ENSMUSG00000120055	NA	Gm37702	NA	NA	NA	NA	NA	NA	NA	NA	E030013I19Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42462	NA	NA	NA	4930517G24Rik	NA	Gm37818	NA	NA	NA	NA	NA	NA	NA	NA	Gm13404	NA	NA	NA	NA	NA	NA	NA	NA	Gm37174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42937	NA	NA	NA	ENSMUSG00000120175	NA	Gm37397	NA	NA	NA	NA	NA	NA	NA	NA	Gm13544	NA	NA	NA	NA	NA	NA	NA	NA	C130089K02Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43511	NA	NA	NA	ENSMUSG00000120362	NA	Gm36638	NA	NA	NA	NA	NA	NA	NA	NA	A230103J11Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm38077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42979	NA	NA	NA	ENSMUSG00000120367	NA	Gm37588	NA	NA	NA	NA	NA	NA	NA	NA	2900079G21Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5830487J09Rik	NA	NA	NA	Gm32261	NA	Gm37174	NA	NA	NA	NA	NA	NA	NA	NA	Dhrs13os	NA	NA	NA	NA	NA	NA	NA	NA	A430027C01Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43061	NA	NA	NA	ENSMUSG00000120574	NA	Gm37747	NA	NA	NA	NA	NA	NA	NA	NA	Emx2os	NA	NA	NA	NA	NA	NA	NA	NA	Gm37663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snhg8	NA	NA	NA	ENSMUSG00000120630	NA	A530064N14Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm11782	NA	NA	NA	NA	NA	NA	NA	NA	Gm43858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43445	NA	NA	NA	ENSMUSG00000120708	NA	Gm38300	NA	NA	NA	NA	NA	NA	NA	NA	Gm11264	NA	NA	NA	NA	NA	NA	NA	NA	Gm43022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A530041M06Rik	NA	NA	NA	ENSMUSG00000120747	NA	Gm38043	NA	NA	NA	NA	NA	NA	NA	NA	Gm12324	NA	NA	NA	NA	NA	NA	NA	NA	Gm43857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42869	NA	NA	NA	ENSMUSG00000120910	NA	Gm37906	NA	NA	NA	NA	NA	NA	NA	NA	Gm16316	NA	NA	NA	NA	NA	NA	NA	NA	Gm42448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42595	NA	NA	NA	ENSMUSG00000120952	NA	Gm37320	NA	NA	NA	NA	NA	NA	NA	NA	A830082K12Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43071	NA	NA	NA	ENSMUSG00000120978	NA	C130089K02Rik	NA	NA	NA	NA	NA	NA	NA	NA	Itih6	NA	NA	NA	NA	NA	NA	NA	NA	Gm42636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43696	NA	NA	NA	ENSMUSG00000120994	NA	Gm38077	NA	NA	NA	NA	NA	NA	NA	NA	5730471H19Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rpl36a-ps2	NA	NA	NA	ENSMUSG00000120996	NA	Gm38082	NA	NA	NA	NA	NA	NA	NA	NA	E030042O20Rik	NA	NA	NA	NA	NA	NA	NA	NA	5830487J09Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43359	NA	NA	NA	ENSMUSG00000121059	NA	Gm37510	NA	NA	NA	NA	NA	NA	NA	NA	Gm11844	NA	NA	NA	NA	NA	NA	NA	NA	E030026E10Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43379	NA	NA	NA	ENSMUSG00000121079	NA	Gm37509	NA	NA	NA	NA	NA	NA	NA	NA	Gm15991	NA	NA	NA	NA	NA	NA	NA	NA	Gm43201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43540	NA	NA	NA	ENSMUSG00000121198	NA	Gm37553	NA	NA	NA	NA	NA	NA	NA	NA	A930006I01Rik	NA	NA	NA	NA	NA	NA	NA	NA	Snhg8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43080	NA	NA	NA	ENSMUSG00000121277	NA	Gm37960	NA	NA	NA	NA	NA	NA	NA	NA	Gm13629	NA	NA	NA	NA	NA	NA	NA	NA	Gm43445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43462	NA	NA	NA	ENSMUSG00000121280	NA	Gm38012	NA	NA	NA	NA	NA	NA	NA	NA	A230004M16Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm43504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43300	NA	NA	NA	Nlrp5-ps	NA	Gm38014	NA	NA	NA	NA	NA	NA	NA	NA	Gm15228	NA	NA	NA	NA	NA	NA	NA	NA	Gm9484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42611	NA	NA	NA	ENSMUSG00000121350	NA	A430027C01Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm16347	NA	NA	NA	NA	NA	NA	NA	NA	Gm43667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43328	NA	NA	NA	ENSMUSG00000121378	NA	Gm37423	NA	NA	NA	NA	NA	NA	NA	NA	Gm14696	NA	NA	NA	NA	NA	NA	NA	NA	Gm42869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43654	NA	NA	NA	ENSMUSG00000121382	NA	Gm37255	NA	NA	NA	NA	NA	NA	NA	NA	Gm15541	NA	NA	NA	NA	NA	NA	NA	NA	Gm43071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4932422M17Rik	NA	NA	NA	ENSMUSG00000121472	NA	Gm37660	NA	NA	NA	NA	NA	NA	NA	NA	Gm5475	NA	NA	NA	NA	NA	NA	NA	NA	Gm42843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43679	NA	NA	NA	NA	NA	Gm37663	NA	NA	NA	NA	NA	NA	NA	NA	Gm11998	NA	NA	NA	NA	NA	NA	NA	NA	6030400A10Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43254	NA	NA	NA	NA	NA	Gm10305	NA	NA	NA	NA	NA	NA	NA	NA	4930506C21Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2810428J06Rik	NA	NA	NA	NA	NA	Gm19552	NA	NA	NA	NA	NA	NA	NA	NA	Gm16835	NA	NA	NA	NA	NA	NA	NA	NA	Rpl36a-ps2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43609	NA	NA	NA	NA	NA	Gm37110	NA	NA	NA	NA	NA	NA	NA	NA	Gm12116	NA	NA	NA	NA	NA	NA	NA	NA	Gm43618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42664	NA	NA	NA	NA	NA	Gm37736	NA	NA	NA	NA	NA	NA	NA	NA	Gm13236	NA	NA	NA	NA	NA	NA	NA	NA	Gm42614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42658	NA	NA	NA	NA	NA	Gm37738	NA	NA	NA	NA	NA	NA	NA	NA	4930577H14Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm43379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43593	NA	NA	NA	NA	NA	Gm37163	NA	NA	NA	NA	NA	NA	NA	NA	Gm13561	NA	NA	NA	NA	NA	NA	NA	NA	Gm42436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B230303O12Rik	NA	NA	NA	NA	NA	Gm37334	NA	NA	NA	NA	NA	NA	NA	NA	Gm15738	NA	NA	NA	NA	NA	NA	NA	NA	E430021H15Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43034	NA	NA	NA	NA	NA	Gm43314	NA	NA	NA	NA	NA	NA	NA	NA	9830144P21Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm43080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2700029L08Rik	NA	NA	NA	NA	NA	Gm43858	NA	NA	NA	NA	NA	NA	NA	NA	Gm11412	NA	NA	NA	NA	NA	NA	NA	NA	Gm43300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42798	NA	NA	NA	NA	NA	Gm43022	NA	NA	NA	NA	NA	NA	NA	NA	Uchl1os	NA	NA	NA	NA	NA	NA	NA	NA	4633401B06Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43681	NA	NA	NA	NA	NA	Gm43857	NA	NA	NA	NA	NA	NA	NA	NA	4930442J19Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43029	NA	NA	NA	NA	NA	Gm42701	NA	NA	NA	NA	NA	NA	NA	NA	Pnpla1os	NA	NA	NA	NA	NA	NA	NA	NA	Gm42611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dancr	NA	NA	NA	NA	NA	Gm42636	NA	NA	NA	NA	NA	NA	NA	NA	5330434G04Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43843	NA	NA	NA	NA	NA	Gm43421	NA	NA	NA	NA	NA	NA	NA	NA	A230059L01Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5930430L01Rik	NA	NA	NA	NA	NA	C130075A20Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm11373	NA	NA	NA	NA	NA	NA	NA	NA	Gm42748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N4bp2os	NA	NA	NA	NA	NA	Gm43511	NA	NA	NA	NA	NA	NA	NA	NA	4930447M23Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm43605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43481	NA	NA	NA	NA	NA	Gm42979	NA	NA	NA	NA	NA	NA	NA	NA	A230009B12Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm43189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42735	NA	NA	NA	NA	NA	Gm43201	NA	NA	NA	NA	NA	NA	NA	NA	Slain1os	NA	NA	NA	NA	NA	NA	NA	NA	Gm43544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43294	NA	NA	NA	NA	NA	Gm43387	NA	NA	NA	NA	NA	NA	NA	NA	Matr3-ps2	NA	NA	NA	NA	NA	NA	NA	NA	Gm43679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm6598	NA	NA	NA	NA	NA	Gm43707	NA	NA	NA	NA	NA	NA	NA	NA	Gm11357	NA	NA	NA	NA	NA	NA	NA	NA	Gm43254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm42572	NA	NA	NA	NA	NA	Gm43061	NA	NA	NA	NA	NA	NA	NA	NA	3632454L22Rik	NA	NA	NA	NA	NA	NA	NA	NA	2810428J06Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43039	NA	NA	NA	NA	NA	Gm43445	NA	NA	NA	NA	NA	NA	NA	NA	Gm16580	NA	NA	NA	NA	NA	NA	NA	NA	Gm42993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm10461	NA	NA	NA	NA	NA	A530041M06Rik	NA	NA	NA	NA	NA	NA	NA	NA	Slc25a5-ps	NA	NA	NA	NA	NA	NA	NA	NA	Gm6135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4732416N19Rik	NA	NA	NA	NA	NA	Gm42763	NA	NA	NA	NA	NA	NA	NA	NA	Gm16536	NA	NA	NA	NA	NA	NA	NA	NA	Gm43697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44421	NA	NA	NA	NA	NA	Gm42869	NA	NA	NA	NA	NA	NA	NA	NA	Gm16579	NA	NA	NA	NA	NA	NA	NA	NA	Gm43609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44104	NA	NA	NA	NA	NA	Gm42700	NA	NA	NA	NA	NA	NA	NA	NA	Gm16169	NA	NA	NA	NA	NA	NA	NA	NA	Gm42664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44220	NA	NA	NA	NA	NA	Gm42595	NA	NA	NA	NA	NA	NA	NA	NA	Gm15734	NA	NA	NA	NA	NA	NA	NA	NA	C230096K16Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44386	NA	NA	NA	NA	NA	Gm43668	NA	NA	NA	NA	NA	NA	NA	NA	Gm15740	NA	NA	NA	NA	NA	NA	NA	NA	Gm42842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44037	NA	NA	NA	NA	NA	Gm43581	NA	NA	NA	NA	NA	NA	NA	NA	Gm16573	NA	NA	NA	NA	NA	NA	NA	NA	Gm43426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44321	NA	NA	NA	NA	NA	Gm43362	NA	NA	NA	NA	NA	NA	NA	NA	Dlx6os1	NA	NA	NA	NA	NA	NA	NA	NA	Gm19409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44126	NA	NA	NA	NA	NA	Gm43149	NA	NA	NA	NA	NA	NA	NA	NA	Gm16094	NA	NA	NA	NA	NA	NA	NA	NA	Gm8066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm5112	NA	NA	NA	NA	NA	Gm42863	NA	NA	NA	NA	NA	NA	NA	NA	Gm16534	NA	NA	NA	NA	NA	NA	NA	NA	Gm42658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44243	NA	NA	NA	NA	NA	Gm43071	NA	NA	NA	NA	NA	NA	NA	NA	Gm16029	NA	NA	NA	NA	NA	NA	NA	NA	Gm42992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44021	NA	NA	NA	NA	NA	Gm42843	NA	NA	NA	NA	NA	NA	NA	NA	Ifi203-ps	NA	NA	NA	NA	NA	NA	NA	NA	Gm42991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B130021K23Rik	NA	NA	NA	NA	NA	Gm43817	NA	NA	NA	NA	NA	NA	NA	NA	Gm17017	NA	NA	NA	NA	NA	NA	NA	NA	Gm42460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
