Kidney_Male.LAKI UP	Kidney_Male.LAKI DOWN	Kidney_Male.TMS UP	Kidney_Male.TMS DOWN	Kidney_Male.Zhou UP	Kidney_Male.Zhou DOWN	Liver_Male.LAKI UP	Liver_Male.LAKI DOWN	Liver_Male.TMS UP	Liver_Male.TMS DOWN	Liver_Male.Zhou UP	Liver_Male.Zhou DOWN	Heart_Male.LAKI UP	Heart_Male.LAKI DOWN	Heart_Male.TMS UP	Heart_Male.TMS DOWN	Heart_Male.Zhou UP	Heart_Male.Zhou DOWN	Small_intestine_Male.LAKI UP	Small_intestine_Male.LAKI DOWN	Small_intestine_Male.TMS UP	Small_intestine_Male.TMS DOWN	Small_intestine_Male.Zhou UP	Small_intestine_Male.Zhou DOWN	Kidney_Female.LAKI UP	Kidney_Female.LAKI DOWN	Kidney_Female.TMS UP	Kidney_Female.TMS DOWN	Kidney_Female.Zhou UP	Kidney_Female.Zhou DOWN	Liver_Female.LAKI UP	Liver_Female.LAKI DOWN	Liver_Female.TMS UP	Liver_Female.TMS DOWN	Liver_Female.Zhou UP	Liver_Female.Zhou DOWN	Heart_Female.LAKI UP	Heart_Female.LAKI DOWN	Heart_Female.TMS UP	Heart_Female.TMS DOWN	Heart_Female.Zhou UP	Heart_Female.Zhou DOWN	Small_intestine_Female.LAKI UP	Small_intestine_Female.LAKI DOWN	Small_intestine_Female.TMS UP	Small_intestine_Female.TMS DOWN	Small_intestine_Female.Zhou UP	Small_intestine_Female.Zhou DOWN
Gm10275	F630028O10Rik	Gm43305	A930006K02Rik	Ftx	Gm4316	Gm9828	5830417I10Rik	Gm10288	Gm13375	AI504432	Gm9888	2810403D21Rik	Gm12519	Brip1os	2900005J15Rik	Gm4876	Gm9920	4833418N02Rik	Gm44250	Gm14303	Gm20634	NA	NA	D730003I15Rik	Gm12250	Gm28437	Gm42870	NA	NA	Gm10602	Vamp7-ps	Btnl7-ps	Gm10575	NA	NA	Carmn	NA	NA	NA	NA	NA	Gm15368	Gm20008	Gm12070	Gt(ROSA)26Sor	NA	NA
Rps13-ps2	Gm12250	Gm30648	Bcas3os1	Gm15500	Gm42047	Gm9864	Gm12250	Cdr1os	Gm11131	Gm17132	Gm9920	2410006H16Rik	AI662270	Firre	Stk-ps2	2810407A14Rik	Gm9922	Hnf1aos1	5033406O09Rik	Pisd-ps1	2500004C02Rik	NA	NA	AA474408	Gm12895	Gm29216	Gm40309	NA	NA	Gm10762	Gm14097	Gvin-ps7	Gm12216	NA	NA	9530026P05Rik	NA	NA	NA	NA	NA	Mir22hg	Gm31235	3000002C10Rik	Gm16157	NA	NA
5031425E22Rik	Mir142hg	Gm48275	Gm10177	2410006H16Rik	Gm49980	5330438D12Rik	Vamp7-ps	A530040E14Rik	2610203C22Rik	A430093F15Rik	A930005H10Rik	Gm15903	Gm16534	Gm15222	B530045E10Rik	AI504432	A930005H10Rik	Gm15998	U90926	Gm15982	Mup-ps12	NA	NA	4632427E13Rik	Mir142hg	Gm42427	Gm33989	NA	NA	Mir670hg	D630024D03Rik	BC023105	Gm12097	NA	NA	2310015A10Rik	NA	NA	NA	NA	NA	C130046K22Rik	ENSMUSG00000120992	Gm10382	E230016M11Rik	NA	NA
2500004C02Rik	Brip1os	ENSMUSG00000120681	Redrum	Gm10177	ENSMUSG00000120361	A430110L20Rik	Ndufb4c	Gm10419	Ndufb4c	A530040E14Rik	Gm7536	Gm16316	1810034E14Rik	Snhg20	Gm13749	Gm17494	Gm9949	E130307A14Rik	Gm10451	Znf41-ps	C730034F03Rik	NA	NA	Mrpl23-ps1	AI662270	Peg13	Gm30054	NA	NA	1700001L05Rik	Gm2788	Gm10134	Gm12895	NA	NA	Hand2os1	NA	NA	NA	NA	NA	4833418N02Rik	9030619P08Rik	G530011O06Rik	Hectd2os	NA	NA
D730003I15Rik	Gm17029	ENSMUSG00000120721	2310010J17Rik	Neat1	ENSMUSG00000120789	Gm11696	Brip1os	H2-T-ps	C630043F03Rik	A530017D24Rik	Gm17494	Neat1	Gm16793	2010001A14Rik	6330549D23Rik	R74862	BC043934	E230016M11Rik	Gm11545	Dbhos	A230072E10Rik	NA	NA	6330403L08Rik	1200007C13Rik	5430401H09Rik	ENSMUSG00000119943	NA	NA	Gm13375	A230072C01Rik	3000002C10Rik	Gm16140	NA	NA	Rpl36a-ps2	NA	NA	NA	NA	NA	Gm11695	3930402G23Rik	Gm10642	Gm17229	NA	NA
AA474408	AI662270	ENSMUSG00000120785	Snhg6	Malat1	ENSMUSG00000121141	C330011M18Rik	4930412C18Rik	E330020D12Rik	Gm15234	3222401L13Rik	Rpl28-ps1	Gm20655	6430562O15Rik	Gm15501	Gm9797	Gm10110	Gm11696	4933407K13Rik	Trgc1	4930412C18Rik	B430010I23Rik	NA	NA	Gm11518	2010016I18Rik	Gm48161	ENSMUSG00000120442	NA	NA	6330403L08Rik	5730405O15Rik	A530040E14Rik	Gm12940	NA	NA	Gm47962	NA	NA	NA	NA	NA	2610507I01Rik	Nlrp5-ps	F630028O10Rik	Serpina4-ps1	NA	NA
4632427E13Rik	2500002B13Rik	NA	Lockd	AU020206	Dbpht2	Gm7536	A730017L22Rik	Gvin3	Gm13449	Gm10553	Rpl15-ps3	Mir133a-1hg	Gm28437	Neat1	B230317F23Rik	Gm10134	9630013D21Rik	AI480526	Trgc4	Gm15640	Gm11789	NA	NA	Gm17131	F730311O21Rik	Gm49701	ENSMUSG00000120754	NA	NA	Rab10os	A630031M04Rik	G530011O06Rik	Trmt61b	NA	NA	Rmst	NA	NA	NA	NA	NA	Gm15506	Gm10123	Pisd-ps1	Gm20528	NA	NA
Gm15441	Gm28437	NA	Rps23-ps1	Gm26782	2810032G03Rik	Rpl28-ps1	D630024D03Rik	Arhgap20os	2610507I01Rik	Mir100hg	Gm10101	E230013L22Rik	Gm29216	Gm3654	Gm9801	mt-Rnr2	A930017M01Rik	Gm20682	6430710C18Rik	Gm15411	Gm16348	NA	NA	Gm16001	Gm28437	ENSMUSG00000120183	ENSMUSG00000121069	NA	NA	C920021L13Rik	Hectd2os	Gm10451	Gm16046	NA	NA	Gm47644	NA	NA	NA	NA	NA	Gm12002	Gm10384	5830444B04Rik	Gm20540	NA	NA
Zfas1	Norad	NA	9830132P13Rik	Gm26740	B230317F23Rik	BC002059	Gm15638	Crxos	Gm16045	Il1bos	Fbxl12os	9530026P05Rik	Gm28438	Gm20554	4933415A04Rik	Gm5641	Gm10101	Gm20633	Gm15200	Chrna1os	Gm15638	NA	NA	Gm15411	A130071D04Rik	ENSMUSG00000120850	H2-K2	NA	NA	Gm15374	D430040D24Rik	H2-T-ps	2610507I01Rik	NA	NA	ENSMUSG00000120601	NA	NA	NA	NA	NA	E130307A14Rik	6430710C18Rik	4933421O10Rik	Gm20319	NA	NA
6330403L08Rik	Gm42427	NA	Gm49980	2810013P06Rik	B430212C06Rik	Rps16-ps2	2610507I01Rik	Trgc1	Gm15998	AW112010	Rps4l	Gm27252	Chaer1	Gm16740	4933440M02Rik	Gm10275	Gm4735	Gm10524	Gm14029	2210417A02Rik	Gm12781	NA	NA	Gm15500	Gm20559	NA	NA	NA	NA	Gm12895	Gm20632	Gm10521	2610307P16Rik	NA	NA	ENSMUSG00000121015	NA	NA	NA	NA	NA	Tbx3os1	Gm16014	A430018G15Rik	Gm20684	NA	NA
